city,state_id,state_name,county_name,lat,lng,timezone
Colesville,MD,Maryland,Montgomery,39.0730,-77.0010,America/New_York
Lakeland,TN,Tennessee,Shelby,35.2585,-89.7308,America/Chicago
New Ulm,MN,Minnesota,Brown,44.3120,-94.4685,America/Chicago
Mill Valley,CA,California,Marin,37.9086,-122.5421,America/Los_Angeles
Artondale,WA,Washington,Pierce,47.3021,-122.6406,America/Los_Angeles
Bellefontaine,OH,Ohio,Logan,40.3627,-83.7630,America/New_York
Newport,KY,Kentucky,Campbell,39.0856,-84.4868,America/New_York
Smithfield,UT,Utah,Cache,41.8349,-111.8265,America/Denver
Midlothian,IL,Illinois,Cook,41.6254,-87.7243,America/Chicago
Allouez,WI,Wisconsin,Brown,44.4721,-88.0259,America/Chicago
Anderson Creek,NC,North Carolina,Harnett,35.2657,-78.9580,America/New_York
Destin,FL,Florida,Okaloosa,30.3950,-86.4701,America/Chicago
Wauconda,IL,Illinois,Lake,42.2749,-88.1359,America/Chicago
Pierre,SD,South Dakota,Hughes,44.3748,-100.3205,America/Chicago
Forest Park,IL,Illinois,Cook,41.8683,-87.8157,America/Chicago
Sharonville,OH,Ohio,Hamilton,39.2825,-84.4071,America/New_York
Beach Park,IL,Illinois,Lake,42.4260,-87.8583,America/Chicago
Fort Lewis,WA,Washington,Pierce,47.0955,-122.5674,America/Los_Angeles
Greenwood,MS,Mississippi,Leflore,33.5126,-90.1993,America/Chicago
College Park,GA,Georgia,Fulton,33.6363,-84.4640,America/New_York
Roselle Park,NJ,New Jersey,Union,40.6653,-74.2666,America/New_York
Teays Valley,WV,West Virginia,Putnam,38.4482,-81.9246,America/New_York
McPherson,KS,Kansas,McPherson,38.3714,-97.6605,America/Chicago
McCalla,AL,Alabama,Jefferson,33.3023,-87.0302,America/Chicago
Brandermill,VA,Virginia,Chesterfield,37.4340,-77.6522,America/New_York
Rocky Point,NY,New York,Suffolk,40.9357,-72.9364,America/New_York
Wood Dale,IL,Illinois,DuPage,41.9668,-87.9808,America/Chicago
Forest Hill,TX,Texas,Tarrant,32.6619,-97.2662,America/Chicago
